Product,DeviceCategory,session_id,total_cost,impression_count
Ad Exchange,Smartphone,unknown,127.689951,165065
Ad Exchange,Smartphone,192645_2002,32.730354,76026
Ad Exchange,Smartphone,191939_2013,27.027684999999998,42960
Ad Exchange,Desktop,unknown,22.488906999999998,23703
Exchange Bidding,Smartphone,unknown,18.55915,18502
Ad Exchange,Smartphone,192281_1000,15.464044999999999,7655
Ad Exchange,Smartphone,190728_2003,15.243659999999998,14777
Ad Exchange,Tablet,unknown,14.833480999999999,22064
Ad Exchange,Smartphone,192125_2000,11.539145999999999,13119
Ad Exchange,Smartphone,185512_3005,11.492193,8675
Ad Exchange,Smartphone,191721_2002,11.323179999999999,17244
Ad Exchange,Smartphone,192344_2000,10.60994,9715
Ad Exchange,Smartphone,186210_3000,10.10966,4538
Ad Exchange,Desktop,undefined,10.008796,18917
Ad Exchange,Smartphone,undefined,8.967329,4995
Ad Exchange,Smartphone,192338_2000,5.7312449999999995,5839
Ad Exchange,Smartphone,191939_2003,5.45133,6557
Exchange Bidding,Desktop,unknown,5.447471,4803
Ad Exchange,Smartphone,191704_1069,5.249254,2767
Ad Exchange,Smartphone,27109_3048,5.142868,3181
Ad Exchange,Smartphone,192282_1000,4.956353,2666
Ad Exchange,Smartphone,188943_1018,4.68976,2053
Ad Exchange,Smartphone,191943_2000,4.568248,5614
Ad Exchange,Smartphone,191946_2000,4.432321,8214
Ad Exchange,Desktop,191542_3089,4.342356,11390
Ad Exchange,Smartphone,188313_1017,4.218723,1807
Ad Exchange,Smartphone,190603_2000,4.1803729999999995,9072
Ad Exchange,Smartphone,188535_1143,3.947513,2039
Ad Exchange,Desktop,191372_3038,3.6081209999999997,4241
Ad Exchange,Smartphone,192350_2002,3.4796639999999996,4101
Ad Exchange,Smartphone,191702_1047,3.295918,1359
Ad Exchange,Smartphone,192353_2002,3.2354789999999998,4073
Ad Exchange,Smartphone,191838_3014,3.110924,1814
Ad Exchange,Smartphone,191723_2001,2.972559,4727
Ad Exchange,Smartphone,191396_1003,2.9540409999999997,1600
Ad Exchange,Smartphone,191931_2007,2.8878559999999998,5179
Ad Exchange,Smartphone,190725_2001,2.8771359999999997,5595
Exchange Bidding,Smartphone,191939_2013,2.7921389999999997,2162
Ad Exchange,Smartphone,192037_3002,2.765983,4155
Ad Exchange,Smartphone,190728_2004,2.7603709999999997,3160
Ad Exchange,Smartphone,186015_3028,2.746962,3617
Ad Exchange,Smartphone,191154_1014,2.734283,1296
Ad Exchange,Desktop,188549_1000,2.71371,4813
Exchange Bidding,Tablet,unknown,2.64847,2346
Ad Exchange,Smartphone,191313_3030,2.63986,1411
Ad Exchange,Desktop,187697_1031,2.577029,3210
Exchange Bidding,Smartphone,192645_2002,2.540952,2368
Exchange Bidding,Smartphone,192281_1000,2.459234,1154
Ad Exchange,Smartphone,189163_1034,2.45329,1408
Ad Exchange,Smartphone,190548_1025,2.382911,829
Ad Exchange,Smartphone,192284_1000,2.333074,1453
Ad Exchange,Smartphone,188943_1023,2.24925,1038
Ad Exchange,Smartphone,188952_1036,2.209362,970
Ad Exchange,Smartphone,192634_1000,2.192101,1256
Ad Exchange,Smartphone,192716_1000,2.137327,1945
Ad Exchange,Smartphone,192041_1004,2.12362,1376
Ad Exchange,Smartphone,192344_2002,2.0982719999999997,1965
Ad Exchange,Desktop,191611_1000,2.059384,3483
Ad Exchange,Smartphone,192734_1000,2.0564039999999997,2461
Ad Exchange,Smartphone,192353_2000,2.046535,2558
Ad Exchange,Smartphone,192332_1003,1.9869329999999998,782
Exchange Bidding,Desktop,191372_3038,1.979938,2165
Ad Exchange,Smartphone,192668_1000,1.9256499999999999,1647
Exchange Bidding,Desktop,undefined,1.896987,2703
Exchange Bidding,Smartphone,185512_3005,1.874709,951
Ad Exchange,Tablet,191154_1014,1.872866,711
Ad Exchange,Desktop,192125_2000,1.856158,3431
Ad Exchange,Smartphone,191759_3151,1.794101,1086
Ad Exchange,Smartphone,181415_1934,1.788549,1454
Ad Exchange,Desktop,191623_3048,1.775968,3202
Exchange Bidding,Smartphone,191721_2002,1.764834,1751
Ad Exchange,Desktop,188943_3038,1.751649,2731
Ad Exchange,Desktop,191939_2013,1.717487,3846
Ad Exchange,Desktop,191375_3044,1.680394,3906
Ad Exchange,Smartphone,192678_1007,1.676766,579
Ad Exchange,Smartphone,191981_3000,1.6667939999999999,796
Ad Exchange,Smartphone,186105_5049,1.664532,900
Ad Exchange,Desktop,190407_3002,1.656332,1853
Ad Exchange,Tablet,192645_2002,1.643125,3468
Ad Exchange,Desktop,188573_1118,1.5960509999999999,3082
Ad Exchange,Smartphone,188862_1010,1.5772009999999999,760
Ad Exchange,Smartphone,192140_1000,1.5659349999999999,1250
Exchange Bidding,Smartphone,192125_2000,1.533833,1224
Ad Exchange,Smartphone,190709_1007,1.4868409999999999,533
Exchange Bidding,Smartphone,190728_2003,1.470953,1061
Ad Exchange,Desktop,192294_3000,1.462801,2640
Ad Exchange,Desktop,191313_3094,1.442766,3385
Ad Exchange,Desktop,191339_3000,1.431948,3300
Ad Exchange,Smartphone,192155_3024,1.411468,299
Exchange Bidding,Desktop,192294_3000,1.4043029999999999,793
Ad Exchange,Desktop,192280_3000,1.385031,2186
Ad Exchange,Smartphone,190728_2000,1.372222,1242
Ad Exchange,Smartphone,186217_3011,1.354007,1204
Ad Exchange,Desktop,192282_3001,1.3193789999999999,2941
Ad Exchange,Smartphone,188943_1035,1.3172899999999998,638
Ad Exchange,Desktop,189702_3093,1.305448,2179
Ad Exchange,Smartphone,189484_1154,1.290033,653
Exchange Bidding,Smartphone,191704_1069,1.254074,639
Exchange Bidding,Smartphone,186210_3000,1.248926,801
Ad Exchange,Smartphone,191107_1004,1.247294,524
Ad Exchange,Desktop,188884_1004,1.234302,2530
Ad Exchange,Desktop,190887_3004,1.224742,1603
Ad Exchange,Smartphone,191967_3078,1.2192129999999999,724
Ad Exchange,Smartphone,167551_1000,1.218127,1404
Ad Exchange,Desktop,191654_3017,1.210059,2142
Ad Exchange,Smartphone,185874_3003,1.205568,975
Ad Exchange,Desktop,191940_3002,1.202232,3304
Exchange Bidding,Desktop,187697_1031,1.194377,1110
Ad Exchange,Smartphone,192574_1000,1.190188,759
Ad Exchange,Desktop,190951_3013,1.185918,1624
Ad Exchange,Desktop,190237_3023,1.183554,1840
Exchange Bidding,Smartphone,27109_3048,1.1780739999999998,389
Ad Exchange,Smartphone,190774_1006,1.176489,892
Ad Exchange,Smartphone,191855_3044,1.174436,560
Ad Exchange,Smartphone,192748_1000,1.174364,1105
Ad Exchange,Tablet,191720_1001,1.172637,563
Ad Exchange,Smartphone,192036_1003,1.161528,649
Ad Exchange,Desktop,191393_3010,1.157445,2902
Ad Exchange,Desktop,191939_2003,1.13729,1988
Ad Exchange,Desktop,186123_3025,1.134296,1815
Ad Exchange,Smartphone,189484_3139,1.132353,1374
Ad Exchange,Smartphone,191870_1004,1.126982,696
Exchange Bidding,Smartphone,undefined,1.120612,667
Exchange Bidding,Desktop,191721_2002,1.116463,1302
Ad Exchange,Smartphone,191721_2001,1.109327,2506
Ad Exchange,Smartphone,189420_1010,1.105332,484
Ad Exchange,Desktop,191721_2002,1.101667,2571
Ad Exchange,Smartphone,192140_9002,1.088099,1920
Ad Exchange,Smartphone,191313_3102,1.087394,554
Ad Exchange,Desktop,185547_3016,1.0749849999999999,2947
Ad Exchange,Desktop,191731_3001,1.072099,2492
Ad Exchange,Desktop,186763_3056,1.069749,1219
Ad Exchange,Smartphone,191312_3046,1.067555,175
Ad Exchange,Desktop,187160_3032,1.065437,1711
Ad Exchange,Smartphone,190724_1020,1.060952,376
Ad Exchange,Smartphone,192761_1000,1.0600829999999999,843
Ad Exchange,Tablet,192281_1000,1.052378,578
Exchange Bidding,Desktop,192125_2000,1.02565,1169
Ad Exchange,Desktop,190237_3040,1.015359,1993
Ad Exchange,Smartphone,192109_1002,1.015048,660
Exchange Bidding,Smartphone,192668_1000,1.0076699999999998,695
Ad Exchange,Smartphone,191703_1045,0.998961,392
Ad Exchange,Smartphone,192084_1015,0.984856,784
Ad Exchange,Tablet,191931_2007,0.980325,1547
Ad Exchange,Desktop,191654_3004,0.9685889999999999,1265
Ad Exchange,Desktop,190044_3062,0.9612269999999999,1334
Exchange Bidding,Smartphone,192140_1000,0.946642,733
Ad Exchange,Smartphone,192155_3000,0.932817,425
Ad Exchange,Smartphone,192221_1000,0.9306209999999999,303
Ad Exchange,Smartphone,192166_1001,0.923572,478
Ad Exchange,Smartphone,192325_1008,0.90743,237
Exchange Bidding,Smartphone,181415_1934,0.905121,728
Ad Exchange,Tablet,191444_1003,0.900839,241
Exchange Bidding,Smartphone,188943_1018,0.897365,378
Ad Exchange,Smartphone,192699_1000,0.896107,883
Exchange Bidding,Desktop,191939_2013,0.886019,1051
Ad Exchange,Smartphone,188915_1007,0.8832409999999999,367
Ad Exchange,Smartphone,192341_2000,0.879487,1090
Ad Exchange,Smartphone,191719_1017,0.875474,638
Ad Exchange,Smartphone,192159_1008,0.857193,1264
Exchange Bidding,Smartphone,192716_1000,0.844633,706
Ad Exchange,Desktop,181415_3000,0.843248,819
Ad Exchange,Smartphone,192728_1000,0.8411299999999999,639
Ad Exchange,Desktop,172537_3002,0.841047,904
Exchange Bidding,Smartphone,192282_1000,0.839069,395
